Date,Close?,,,,,,,
02/17/2021,50.13,,,,,,,
02/16/2021,50.27,,,,,,,
02/12/2021,50.69,,,,,,,
02/11/2021,50.3,,,,,,,
02/10/2021,49.6,,,,,,,
02/09/2021,49.7,,,,,,,
02/08/2021,49.92,,,,,,,
02/05/2021,49.65,,,,,,,
02/04/2021,49.01,,,,,,,
02/03/2021,48.77,,,,,,,
02/02/2021,48.96,,,,,,,
02/01/2021,48.48,,,,,,,
01/29/2021,48.15,,,,,,,
01/28/2021,49.15,,,,,,,
01/27/2021,48.53,,,,,,,
01/26/2021,49.29,,,,,,,
01/25/2021,48.78,,,,,,,
01/22/2021,48.49,,,,,,,
01/21/2021,48.95,,,,,,,
01/20/2021,48.68,,,,,,,
01/19/2021,48.51,,,,,,,
01/15/2021,48.7,,,,,,,
01/14/2021,49.23,,,,,,,
01/13/2021,50.16,,,,,,,
01/12/2021,50.11,,,,,,,
01/11/2021,50.2,,,,,,,
01/08/2021,51.08,,,,,,,
01/07/2021,49.96,,,,,,,
01/06/2021,50.52,,,,,,,
01/05/2021,52.18,,,,,,,
01/04/2021,52.76,,,,,,,
12/31/2020,54.84,,,,,,,
12/30/2020,54.44,,,,,,,
12/29/2020,54.13,,,,,,,
12/28/2020,54.16,,,,,,,
12/24/2020,53.44,,,,,,,
12/23/2020,53.08,,,,,,,
12/22/2020,52.76,,,,,,,
12/21/2020,52.81,,,,,,,
12/18/2020,53.74,,,,,,,
12/17/2020,53.27,,,,,,,
12/16/2020,53.06,,,,,,,
12/15/2020,53.84,,,,,,,
12/14/2020,53.27,,,,,,,
12/11/2020,53.35,,,,,,,
12/10/2020,53.05,,,,,,,
12/09/2020,53.33,,,,,,,
12/08/2020,53.18,,,,,,,
12/07/2020,52.99,,,,,,,
12/04/2020,53.85,,,,,,,
12/03/2020,52.78,,,,,,,
12/02/2020,52.11,,,,,,,
12/01/2020,52.04,,,,,,,
11/30/2020,51.6,,,,,,,
11/27/2020,52.7,,,,,,,
11/25/2020,52.93,,,,,,,
11/24/2020,53.22,,,,,,,
11/23/2020,52.68,,,,,,,
11/20/2020,52.67,,,,,,,
11/19/2020,53.13,,,,,,,
11/18/2020,52.61,,,,,,,
11/17/2020,53.68,,,,,,,
11/16/2020,53.85,,,,,,,
11/13/2020,53.45,,,,,,,
11/12/2020,53.01,,,,,,,
11/11/2020,53.58,,,,,,,
11/10/2020,53.98,,,,,,,
11/09/2020,52.57,,,,,,,
11/06/2020,49.45,,,,,,,
11/05/2020,49.44,,,,,,,
11/04/2020,49.17,,,,,,,
11/03/2020,49.35,,,,,,,
11/02/2020,48.62,,,,,,,
10/30/2020,48.06,,,,,,,
10/29/2020,48.02,,,,,,,
10/28/2020,47.96,,,,,,,
10/27/2020,49.9,,,,,,,
10/26/2020,49.8,,,,,,,
10/23/2020,50.52,,,,,,,
10/22/2020,50.68,,,,,,,
10/21/2020,49.99,,,,,,,
10/20/2020,50.25,,,,,,,
10/19/2020,49.62,,,,,,,
10/16/2020,50.03,,,,,,,
10/15/2020,49.99,,,,,,,
10/14/2020,50.12,,,,,,,
10/13/2020,50.22,,,,,,,
10/12/2020,51.09,,,,,,,
10/09/2020,50.81,,,,,,,
10/08/2020,50.46,,,,,,,
10/07/2020,49.56,,,,,,,
10/06/2020,48.94,,,,,,,
10/05/2020,49.38,,,,,,,
10/02/2020,49.36,,,,,,,
10/01/2020,49.18,,,,,,,
09/30/2020,49.37,,,,,,,
09/29/2020,48.92,,,,,,,
09/28/2020,49.28,,,,,,,
09/25/2020,48.72,,,,,,,
09/24/2020,48.7,,,,,,,
09/23/2020,48.21,,,,,,,
09/22/2020,49.66,,,,,,,
09/21/2020,49.09,,,,,,,
09/18/2020,50.45,,,,,,,
09/17/2020,50.55,,,,,,,
09/16/2020,50.79,,,,,,,
09/15/2020,51.05,,,,,,,
09/14/2020,50.71,,,,,,,
09/11/2020,51.06,,,,,,,
09/10/2020,50,,,,,,,
09/09/2020,50.19,,,,,,,
09/08/2020,49.81,,,,,,,
09/04/2020,51.04,,,,,,,
09/03/2020,50.48,,,,,,,
09/02/2020,51.19,,,,,,,
09/01/2020,49.12,,,,,,,
08/31/2020,49.53,,,,,,,
08/28/2020,49.83,,,,,,,
08/27/2020,48.23,,,,,,,
08/26/2020,48.16,,,,,,,
08/25/2020,47.91,,,,,,,
08/24/2020,47.97,,,,,,,
08/21/2020,47.28,,,,,,,
08/20/2020,47.35,,,,,,,
08/19/2020,47.37,,,,,,,
08/18/2020,48.42,,,,,,,
08/17/2020,48.21,,,,,,,
08/14/2020,48.45,,,,,,,
08/13/2020,48.38,,,,,,,
08/12/2020,48.43,,,,,,,
08/11/2020,47.93,,,,,,,
08/10/2020,47.72,,,,,,,
08/07/2020,47.8,,,,,,,
08/06/2020,47.48,,,,,,,
08/05/2020,47.22,,,,,,,
08/04/2020,46.69,,,,,,,
08/03/2020,46.3,,,,,,,
07/31/2020,47.24,,,,,,,
07/30/2020,47.69,,,,,,,
07/29/2020,48.02,,,,,,,
07/28/2020,48.18,,,,,,,
07/27/2020,48.48,,,,,,,
07/24/2020,48.49,,,,,,,
07/23/2020,48.28,,,,,,,
07/22/2020,48.48,,,,,,,
07/21/2020,47.2,,,,,,,
07/20/2020,46.12,,,,,,,
07/17/2020,46.82,,,,,,,
07/16/2020,46.15,,,,,,,
07/15/2020,46.4,,,,,,,
07/14/2020,45.87,,,,,,,
07/13/2020,45.25,,,,,,,
07/10/2020,45.15,,,,,,,
07/09/2020,43.91,,,,,,,
07/08/2020,45.07,,,,,,,
